airportCode,country,city,airport,latitude,longitude
AAL,Denmark,Aalborg,Aalborg Airport,57.0928,9.8492
ABV,Nigeria,Abuja,Nnamdi Azikiwe International Airport,9.0067,7.2631
ADB,Turkey,Izmir,Izmir Adnan Menderes Airport,38.2925,27.1569
ADD,Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,8.9778,38.7994
AGP,Spain,Málaga,Málaga Airport,36.675,-4.4992
ALA,Kazakhstan,Almaty,Almaty International Airport,43.3533,77.0422
ALC,Spain,Alicante,Alicante-Elche Airport,38.2822,-0.5581
ALG,Algeria,Algiers,Houari Boumediene Airport,,
AMM,Jordan,Amman,Queen Alia International Airport,31.7225,35.9933
AMS,Netherlands,Amsterdam,Amsterdam Airport Schiphol,52.3081,4.7642
ARN,Sweden,Stockholm,Stockholm Arlanda Airport,59.6519,17.9186
ATH,Greece,Athens,Athens International Airport,37.9364,23.9444
ATL,United States,Atlanta,Hartsfield–Jackson Atlanta International Airport,33.6367,-84.4281
AUS,United States,Austin,Austin–Bergstrom International Airport,30.1944,-97.67
AYT,Turkey,Antalya,Antalya Airport,36.8986,30.8006
BAH,Bahrain,Manama,Bahrain International Airport,26.2708,50.6336
BCN,Spain,Barcelona,Barcelona–El Prat Airport,41.2969,2.0783
BEG,Serbia,Belgrade,Belgrade Nikola Tesla Airport,44.8183,20.3092
BEY,Lebanon,Beirut,Beirut–Rafic Hariri International Airport,33.8208,35.4883
BHX,United Kingdom,Birmingham,Birmingham Airport,52.4536,-1.7478
BIA,France,Bastia,Bastia – Poretta Airport,42.55,9.4847
BIO,Spain,Bilbao,Bilbao Airport,43.3011,-2.9106
BJV,Turkey,Bodrum,Milas–Bodrum Airport,37.2506,27.6644
BKK,Thailand,Bangkok,Suvarnabhumi International Airport,13.6858,100.7489
BLL,Denmark,Billund,Billund Airport,55.7403,9.1517
BLR,India,Bangalore,Kempegowda International Airport,13.1989,77.7056
BOD,France,Bordeaux,Bordeaux–Mérignac Airport,44.8286,-0.7153
BOG,Colombia,Bogota,El Dorado International Airport,4.7017,-74.1469
BOM,India,Mumbai,Chhatrapati Shivaji International Airport,19.0886,72.8681
BOS,United States,Boston,Logan International Airport,42.3644,-71.0053
BRE,Germany,Bremen,Bremen Airport,53.0475,8.7867
BRS,United Kingdom,Bristol,Bristol Airport,51.3825,-2.7189
BRU,Belgium,Brussels,Brussels Airport,50.9014,4.4844
BUD,Hungary,Budapest,Budapest Ferenc Liszt International Airport,47.4369,19.2556
CAI,Egypt,Cairo,Cairo International Airport,30.1219,31.4056
CDG,France,Paris,Charles de Gaulle Airport,49.0097,2.5478
CGN,Germany,Cologne/Bonn,Cologne Bonn Airport,50.8658,7.1428
CLJ,Romania,Cluj-Napoca,Cluj International Airport,,
CLT,United States,Charlotte,Charlotte Douglas International Airport,35.2139,-80.9431
CMN,Morocco,Casablanca,Mohammed V International Airport,33.3675,-7.59
CPH,Denmark,Copenhagen,Copenhagen Airport,55.6203,12.6503
CPT,South Africa,Cape Town,Cape Town International Airport,-33.9647,18.6017
CUN,Mexico,Cancún,Cancún International Airport,21.0367,-86.8772
CWL,United Kingdom,Cardiff,Cardiff Airport,51.3967,-3.3433
DBV,Croatia,Dubrovnik,Dubrovnik Airport,42.5614,18.2683
DEB,Hungary,Debrecen,Debrecen International Airport,47.4889,21.6153
DEL,India,Delhi,Indira Gandhi International Airport,28.5664,77.1031
DEN,United States,Denver,Denver International Airport,39.8617,-104.6731
DFW,United States,Dallas,Dallas/Fort Worth International Airport,32.8969,-97.0381
DME,Russia,Moscow,Domodedovo International Airport,55.4089,37.9064
DMM,Saudi Arabia,Dammam,King Fahd International Airport,26.4711,49.7978
