Country,City,Airport,code
Albania,Tirana,Tirana International Airport,TIA
Algeria,Algiers,Houari Boumediene Airport,ALG
Angola,Luanda,Quatro de Fevereiro Airport,LAD
Argentina,Buenos Aires,Ministro Pistarini International Airport,EZE
Austria,Graz,Graz Airport,GRZ
Austria,Innsbruck,Innsbruck Airport,INN
Austria,Linz,Linz Airport,LNZ
Austria,Salzburg,Salzburg Airport,SZG
Austria,Vienna,Vienna International Airport,VIE
Azerbaijan,Baku,Heydar Aliyev International Airport,GYD
Bahrain,Manama,Bahrain International Airport,BAH
Belarus,Minsk,Minsk National Airport,MSQ
Belgium,Brussels,Brussels Airport,BRU
Bosnia and Herzegovina,Sarajevo,Sarajevo International Airport,SJJ
Brazil,Rio de Janeiro,Rio de Janeiro–Galeão International Airport,GIG
Brazil,São Paulo,São Paulo–Guarulhos International Airport,GRU
Bulgaria,Sofia,Sofia Airport,SOF
Canada,Montreal,Montréal–Pierre Elliott Trudeau International Airport,YUL
Canada,Ottawa,Ottawa Macdonald–Cartier International Airport,YOW
Canada,Toronto,Toronto Pearson International Airport,YYZ
Canada,Vancouver,Vancouver International Airport,YVR
Colombia,Bogota,El Dorado International Airport,BOG
Costa Rica,San José,Juan Santamaría International Airport,SJO
Croatia,Dubrovnik,Dubrovnik Airport,DBV
Croatia,Rijeka,Rijeka Airport,RJK
Croatia,Split,Split Airport,SPU
Croatia,Zadar,Zadar Airport,ZAD
Croatia,Zagreb,Zagreb Airport,ZAG
Cyprus,Larnaca,Larnaca International Airport,LCA
Czech Republic,Prague,Václav Havel Airport Prague,PRG
Denmark,Aalborg,Aalborg Airport,AAL
Denmark,Billund,Billund Airport,BLL
Denmark,Copenhagen,Copenhagen Airport,CPH
Egypt,Cairo,Cairo International Airport,CAI
Equatorial Guinea,Malabo,Malabo International Airport,SSG
Estonia,Tallinn,Tallinn Airport,TLL
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,ADD
Finland,Helsinki,Helsinki Airport,HEL
Finland,Kittilä,Kittilä Airport,KTT
France,Bastia,Bastia – Poretta Airport,BIA
France,Bordeaux,Bordeaux–Mérignac Airport,BOD
France,Lyon,Lyon–Saint-Exupéry Airport,LYS
France,Marseilles,Marseille Provence Airport,MRS
France,Montpellier,Montpellier–Méditerranée Airport,MPL
France,Nantes,Nantes Atlantique Airport,NTE
France,Nice,Nice Côte d'Azur Airport,NCE
France,Paris,Charles de Gaulle Airport,CDG
France,Paris,Orly Airport,ORY
France,Rennes,Rennes Airport,RNS
France,Strasbourg,Strasbourg Airport,SXB
France,Toulouse,Toulouse–Blagnac Airport,TLS
Georgia,Tbilisi,Tbilisi International Airport,TBS
Germany,Berlin,Berlin Tegel Airport,TXL
Germany,Bremen,Bremen Airport,BRE
Germany,Cologne/Bonn,Cologne Bonn Airport,CGN
Germany,Dresden,Dresden Airport,DRS
Germany,Düsseldorf,Düsseldorf Airport,DUS
Germany,Frankfurt,Frankfurt am Main International Airport,FRA
Germany,Friedrichshafen,Friedrichshafen Airport,FDH
Germany,Hamburg,Hamburg Airport,HAM
Germany,Hanover,Hanover Airport,HAJ
Germany,Leipzig/Halle,Leipzig/Halle Airport,LEJ
Germany,Munich,Munich Airport,MUC
Germany,Münster,Münster Osnabrück International Airport,FMO
Germany,Nuremberg,Nuremberg Airport,NUE
Germany,Paderborn,Paderborn Lippstadt Airport,PAD
Germany,Rostock,Rostock-Laage Airport,RLG
Germany,Stuttgart,Stuttgart Airport,STR
Germany,Westerland,Sylt Airport,GWT
Greece,Athens,Athens International Airport,ATH
Greece,Heraklion,Heraklion International Airport,HER
Greece,Rhodes,Rhodes Airport,RHO
Greece,Thessaloniki,Thessaloniki International Airport,SKG
Greece,Zakynthos,Zakynthos Airport,ZTH
Hong Kong,Hong Kong,Hong Kong International Airport,HKG
Hong Kong,Hong Kong,Kai Tak International Airport,HKG
Hungary,Budapest,Budapest Ferenc Liszt International Airport,BUD
Hungary,Debrecen,Debrecen International Airport,DEB
Iceland,Reykjavík,Keflavík International Airport,KEF
India,Bangalore,Kempegowda International Airport,BLR
India,Delhi,Indira Gandhi International Airport,DEL
India,Mumbai,Chhatrapati Shivaji International Airport,BOM
Iran,Tehran,Tehran Imam Khomeini International Airport,IKA
