AirportCode,Latitude,Longitude
TIA,41.415,19.7208
LAD,-8.8583,13.2311
EZE,-34.8222,-58.5358
GRZ,46.9936,15.44
INN,47.2603,11.3439
LNZ,48.2333,14.1875
SZG,47.7933,13.0044
VIE,48.1103,16.5781
BAH,26.2708,50.6336
MSQ,53.8825,28.0308
BRU,50.9014,4.4844
SJJ,43.8247,18.3314
GIG,-22.8125,-43.2483
GRU,-23.4319,-46.4694
SOF,42.6953,23.4061
YUL,45.4706,-73.7408
YOW,45.3225,-75.6692
YYZ,43.6772,-79.6306
YVR,49.1939,-123.1844
BOG,4.7017,-74.1469
DBV,42.5614,18.2683
SPU,43.5389,16.2981
ZAD,44.1083,15.3467
ZAG,45.7431,16.0689
PRG,50.1008,14.26
AAL,57.0928,9.8492
BLL,55.7403,9.1517
CPH,55.6203,12.6503
CAI,30.1219,31.4056
SSG,3.7553,8.7086
TLL,59.4133,24.8325
ADD,8.9778,38.7994
HEL,60.3172,24.9633
KTT,67.7011,24.8469
BIA,42.55,9.4847
BOD,44.8286,-0.7153
LYS,45.7256,5.0811
MRS,43.4367,5.215
MPL,43.5833,3.9614
NTE,47.1569,-1.6078
NCE,43.6653,7.215
CDG,49.0097,2.5478
RNS,48.0719,-1.7322
SXB,48.5419,7.6344
TLS,43.635,1.3678
TXL,52.5597,13.2878
BRE,53.0475,8.7867
CGN,50.8658,7.1428
DRS,51.1344,13.7681
DUS,51.2894,6.7667
FRA,50.0331,8.5706
FDH,47.6714,9.5114
HAM,53.6303,9.9883
HAJ,52.4606,9.6894
LEJ,51.4325,12.2417
MUC,48.3539,11.7861
FMO,52.1347,7.6847
NUE,49.4986,11.0669
PAD,51.6142,8.6164
RLG,53.9181,12.2783
STR,48.69,9.2219
GWT,54.9133,8.3406
ATH,37.9364,23.9444
HER,35.3397,25.1803
RHO,36.4056,28.0861
SKG,40.5197,22.9708
ZTH,37.7508,20.8842
HKG,22.3089,113.9147
HKG,22.3089,113.9147
BUD,47.4369,19.2556
DEB,47.4889,21.6153
BLR,13.1989,77.7056
DEL,28.5664,77.1031
BOM,19.0886,72.8681
IKA,35.4161,51.1522
EBL,36.2378,43.9631
DUB,53.4214,-6.27
NGO,34.8583,136.8053
KIX,34.4272,135.2442
HND,35.5522,139.7797
AMM,31.7225,35.9933
ALA,43.3533,77.0422
NQZ,51.0231,71.4669
NBO,-1.3192,36.9278
KWI,29.2267,47.9689
RIX,56.9236,23.9711
BEY,33.8208,35.4883
VNO,54.6342,25.2858
LUX,49.6233,6.2044
MLE,4.1917,73.5292
MLA,35.8575,14.4775
AAA,-17.3525,-145.51
CUN,21.0367,-86.8772
MEX,19.4364,-99.0722
KIV,46.9278,28.9308
CMN,33.3675,-7.59
RAK,31.6069,-8.0364
AMS,52.3081,4.7642
ABV,9.0067,7.2631
LOS,6.5775,3.3211
PHC,5.0156,6.9497
OSL,60.1939,11.1003
TOS,69.6833,18.9189
PTY,9.0714,-79.3833
GDN,54.3775,18.4661
KRK,50.0778,19.7847
LUZ,51.2314,22.6906
POZ,52.4211,16.8264
WAW,52.1658,20.9672
WRO,51.1028,16.8858
FAO,37.0144,-7.9658
FNC,32.6942,-16.7781
AAA,-17.3525,-145.51
OPO,41.2356,-8.6781
OTP,44.5722,26.1022
SBZ,45.7856,24.0914
DME,55.4089,37.9064
LED,59.8003,30.2625
DMM,26.4711,49.7978
JED,21.6794,39.1567
RUH,24.9578,46.6989
BEG,44.8183,20.3092
SIN,1.3592,103.9894
LJU,46.2236,14.4575
CPT,-33.9647,18.6017
JNB,-26.1392,28.2461
ICN,37.4692,126.4506
ALC,38.2822,-0.5581
BCN,41.2969,2.0783
BIO,43.3011,-2.9106
FUE,28.4528,-13.8639
IBZ,38.8728,1.3731
LPA,27.9319,-15.3867
MAD,40.4936,-3.5667
AGP,36.675,-4.4992
PMI,39.5517,2.7389
SCQ,42.8964,-8.4153
SVQ,37.4181,-5.8931
TFS,28.0444,-16.5725
VLC,39.4894,-0.4817
GOT,57.6628,12.2797
ARN,59.6519,17.9186
GVA,46.2381,6.1089
ZRH,47.4647,8.5492
HUB,-16.4897,130.6297
BKK,13.6858,100.7489
AYT,36.8986,30.8006
BJV,37.2506,27.6644
AAA,-17.3525,-145.51
ADB,38.2925,27.1569
KBP,50.345,30.8947
LWO,49.8125,23.9561
ODS,46.4267,30.6764
DXB,25.2528,55.3644
BHX,52.4536,-1.7478
BRS,51.3825,-2.7189
CWL,51.3967,-3.3433
EDI,55.95,-3.3725
INV,57.54,-4.05
LHR,51.4775,-0.4614
MAN,53.3536,-2.275
NCL,55.0375,-1.6917
ATL,33.6367,-84.4281
AUS,30.1944,-97.67
BOS,42.3644,-71.0053
CLT,35.2139,-80.9431
ORD,41.9786,-87.9047
DFW,32.8969,-97.0381
DEN,39.8617,-104.6731
DTW,42.2125,-83.3533
IAH,29.9844,-95.3414
LAX,33.9425,-118.4081
MIA,25.7933,-80.2906
EWR,40.6925,-74.1686
JFK,40.6397,-73.7789
MCO,28.4294,-81.3089
PHL,39.8719,-75.2411
SEA,47.4489,-122.3094
TPA,27.9756,-82.5333
IAD,38.9444,-77.4558
